"Palavra,Classificacao"
"alnitak, substantivo"
"alo, substantivo"
"alocentrismo, substantivo"
"aloctone, substantivo"
"alocucao, substantivo"
"alocucionario, substantivo"
"alofono, substantivo"
"alojamento, substantivo"
"alomnesia, substantivo"
"alomonio, substantivo"
"alongamento, substantivo"
"alongar, verbo"
"alopatia, substantivo"
"alopatrico, substantivo"
"alopecia, substantivo"
"alopoiese, substantivo"
"aloprar, verbo"
"alossexual, substantivo"
"alosteria, substantivo"
"alotriofagia, substantivo"
"alparcatas, substantivo"
"alpargatas, substantivo"
"alpendre, substantivo"
"alpino, substantivo"
"alpiste, substantivo"
"alporquia, substantivo"
"alqueire, substantivo"
"alquila, substantivo"
"alquiler, verbo"
"alquimia, substantivo"
"alta, substantivo"
"altamir, verbo"
"altar, verbo"
"alterar, verbo"
"altercacao, substantivo"
"altercar, verbo"
"alteridade, substantivo"
"alternancia, substantivo"
"alternativa, substantivo"
"alterosa, substantivo"
"alteroso, substantivo"
"alteza, substantivo"
"altitude, substantivo"
"altivez, substantivo"
"altivo, substantivo"
"alto, substantivo"
"altruismo, substantivo"
"altura, substantivo"
"aluado, substantivo"
"alucinacao, substantivo"
"alugar, verbo"
"aluir, verbo"
"alumbramento, substantivo"
"alumbrar, verbo"
"alume, substantivo"
"alumiar, verbo"
"aluminio, substantivo"
"aluno, substantivo"
"alusao, substantivo"
"aluvial, substantivo"
"aluviao, substantivo"
"alva, substantivo"
"alvado, substantivo"
"alvanel, substantivo"
"alvar, verbo"
"alvara, substantivo"
"alvaro, substantivo"
"alvazil, substantivo"
"alvedrio, substantivo"
"alvejante, substantivo"
"alvenaria, substantivo"
"alveolo, substantivo"
"alvissaras, substantivo"
"alvitre, substantivo"
"alvo, substantivo"
"alvorada, substantivo"
"alvorecer, verbo"
"alvoroco, substantivo"
"am / pm, substantivo"
"ama, substantivo"
"amabilidade, substantivo"
"amador, verbo"
"amadurecer, verbo"
"amago, substantivo"
"amalek, substantivo"
"amalgama, substantivo"
"amancebar, verbo"
"amancio, substantivo"
"amanda, substantivo"
"amandio, substantivo"
"amanecer, verbo"
"amanha, substantivo"
"amanho, substantivo"
"amanitina, substantivo"
"amante, substantivo"
"amanuense, substantivo"
"amar, verbo"
"amaranto, substantivo"
"amarelo, substantivo"
"amarfanhar, verbo"
"amargo, substantivo"
"amargura, substantivo"
"amarilis, substantivo"
"amarrar, verbo"
"amarrotar, verbo"
"amasiar-se, substantivo"
"amassar, verbo"
"amastigota, substantivo"
"amaury, substantivo"
"amavio, substantivo"
"amaxofobia, substantivo"
"amazona, substantivo"
"amazonas, substantivo"
"amazonia, substantivo"
"ambao, substantivo"
"ambar, verbo"
"ambicao, substantivo"
"ambicioso, substantivo"
"ambidestro, substantivo"
"ambiente, substantivo"
"ambiguo, substantivo"
"ambito, substantivo"
"ambivalente, substantivo"
"ambligono, substantivo"
"ambliopia, substantivo"
"amblipigio, substantivo"
"ambos, substantivo"
"ambrosio, substantivo"
"ambu, substantivo"
"ambula, substantivo"
"ambulacrario, substantivo"
"ambulancia, substantivo"
"ambulante, substantivo"
"ambulatorio, substantivo"
"ameaca, substantivo"
"ameacador, verbo"
"ameba, substantivo"
"amedrontar, verbo"
"ameia, substantivo"
"ameias, substantivo"
"amelia, substantivo"
"amem, substantivo"
"amendoa, substantivo"
"amendoim, substantivo"
"amener, verbo"
"amenizar, verbo"
"ameno, substantivo"
"amenorreia, substantivo"
"amentar, verbo"
"amentilho, substantivo"
"amercear, verbo"
"america do norte, substantivo"
"americo, substantivo"
"amerindio, substantivo"
"amestrar, verbo"
"ametista, substantivo"
"ametropia, substantivo"
"amicus, substantivo"
"amido, substantivo"
"amigdala, substantivo"
"amigo, substantivo"
"amilase, substantivo"
"amilcar, verbo"
"amiloide, substantivo"
"amilopectina, substantivo"
"amilorida, substantivo"
"amimar, verbo"
"aminase, substantivo"
"aminoacido, substantivo"
"amistoso, substantivo"
"amiude, substantivo"
"amizade, substantivo"
"ammirazione, substantivo"
"ammon, substantivo"
"amnesia, substantivo"
"amnio, substantivo"
"amnion, substantivo"
"amniorrexe, substantivo"
"amniota, substantivo"
"amniotico, substantivo"
"amocete, substantivo"
"amode, substantivo"
"amolar, verbo"
"amon, substantivo"
"amonia, substantivo"
"amontoamento, substantivo"
"amontoar, verbo"
"amor, verbo"
"amor fati, substantivo"
"amora, substantivo"
"amoral, substantivo"
"amoravel, substantivo"
"amoreira, substantivo"
"amores gregos, substantivo"
"amortecer, verbo"
"amos, substantivo"
"amostra, substantivo"
"amostrar, verbo"
"amparo, substantivo"
"ampassa, substantivo"
"ampelopraso, substantivo"
"ampersand, substantivo"
"amplexo, substantivo"
"amplificacao, substantivo"
